question,mode,answer,verdict,score,keyword_score,latency_s,num_sources,config,top_k
Who is the current CEO of Northwind Analytics?,rag,I could not find this in the provided documents.,CORRECT,1.0,1.0,1.94,4,chunk=1000/150 top_k=4 model=gemini-2.5-flash,4
How many days of paid annual leave does a full-time employee get?,rag,"Every employee is entitled to 28 days of paid annual leave per year, in addition to public holidays [1][2][3][4][5][6].",CORRECT,1.0,1.0,1.02,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How does annual leave change with length of service?,rag,Annual leave increases to 30 days after five years of continuous service [1][2][3][4][5][6].,CORRECT,1.0,1.0,1.22,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
Who founded Northwind Analytics and in what year?,rag,Northwind Analytics was founded in 2014 by Priya Menon and Thomas Reyes [1][2][3][4][5][6][7][8].,CORRECT,1.0,1.0,1.78,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How many people did Northwind employ as of January 2025?,rag,"As of January 2025, Northwind employed 428 people across its three offices [1][2][3][4][5][6][7][8].",CORRECT,1.0,1.0,1.01,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
Where is Northwind headquartered and where are its other offices?,rag,"Northwind is headquartered in Manchester, United Kingdom, with satellite offices in Berlin and Bangalore [2][3][4][5][6][7][8].",CORRECT,1.0,1.0,0.99,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How many hours per week do full-time employees work?,rag,Full-time employees work 37.5 hours per week [1][2][3][4][5][6][8].,CORRECT,1.0,1.0,0.77,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How many days per week are employees expected to be in the office?,rag,Employees are expected to be in the office at least two days per week [2][3][4][5][6][7][8].,PARTIAL,0.5,0.3333333333333333,1.55,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What is the home-office allowance for remote-approved staff?,rag,The company provides a one-time home-office allowance of 500 pounds for remote-approved staff [1][2][3][4][5][6][7].,CORRECT,1.0,1.0,0.94,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What is the daily meal allowance for international travel?,rag,The standard daily meal allowance for international travel is 55 pounds [1][2][3][4][5][6][7].,CORRECT,1.0,1.0,0.81,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What are the password requirements?,rag,Passwords must be at least 14 characters long and are rotated every 90 days [1][2][3][4][5][6][7].,CORRECT,1.0,1.0,0.92,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How much is the annual training budget and does it carry over?,rag,"Each employee has an annual training budget of 1,200 pounds. Unused training budget does not carry over to the next year [1][2][3][4][5][6][7].",CORRECT,1.0,1.0,1.43,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How often do performance reviews take place and in which months?,rag,"Formal performance reviews take place twice a year, in June and December [1][2][3][4][5][6][7].",CORRECT,1.0,1.0,1.12,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What makes an employee eligible for promotion consideration?,rag,An employee becomes eligible for promotion consideration if they receive an overall rating of 4 or higher in two consecutive performance reviews [1][2][3][4][5][6][7].,CORRECT,1.0,1.0,1.12,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What bonus is given for passing an approved professional certification?,rag,Employees who pass an approved professional certification receive a one-time bonus of 300 pounds [1][2][3][4][5][6][7].,CORRECT,1.0,1.0,0.91,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What is the company's parental leave policy?,rag,I could not find this in the provided documents.,CORRECT,1.0,1.0,2.45,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
What is the average salary of a consultant at Northwind?,rag,I could not find this in the provided documents.,CORRECT,1.0,1.0,1.54,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
How much does the company contribute to employee pensions?,rag,I could not find this in the provided documents.,CORRECT,1.0,1.0,2.09,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
Who is the current CEO of Northwind Analytics?,rag,I could not find this in the provided documents.,CORRECT,1.0,1.0,2.28,8,chunk=1000/150 top_k=8 model=gemini-2.5-flash,8
